/home/rdmerrio/gits/yaep/test/compare_parsers/ansic.y, warning,parser-conflict, 1 shift/reduce conflict 
/home/rdmerrio/gits/yaep/src/yaep.c,1846,sign-conversion,12: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/vlobject.h,235,sign-conversion,27: warning: conversion to 'size_t' {aka 'long unsigned int'} from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,1853,sign-conversion,26: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,1857,sign-conversion,26: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/objstack.cpp,150,old-style-cast,81: warning: use of old-style cast to 'class _os_segment*' 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/yaep.c,1872,conversion,14: warning: conversion from 'int' to 'short int' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,1875,conversion,23: warning: conversion from 'int' to 'char' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,1912,sign-conversion,36: warning: conversion to 'unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,2094,cast-qual,11: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2101,cast-qual,33: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/objstack.cpp,50,shadow,43: warning: declaration of 'initial_segment_length' shadows a member of 'os' 
/home/rdmerrio/gits/yaep/src/yaep.c,2102,cast-qual,33: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/objstack.cpp,56,old-style-cast,79: warning: use of old-style cast to 'class _os_segment*' 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/objstack.cpp,50,shadow,43: warning: declaration of 'initial_segment_length' shadows a member of 'os' 
/home/rdmerrio/gits/yaep/src/objstack.cpp,50,shadow,43: warning: declaration of 'initial_segment_length' shadows a member of 'os' 
/home/rdmerrio/gits/yaep/src/yaep.c,2120,cast-qual,11: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2127,cast-qual,18: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/yaep.c,2128,cast-qual,18: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2129,cast-qual,18: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2132,cast-qual,19: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/objstack.cpp,150,old-style-cast,81: warning: use of old-style cast to 'class _os_segment*' 
/home/rdmerrio/gits/yaep/src/vlobject.h,433,conversion,19: warning: conversion from 'int' to 'char' may change value 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/vlobject.cpp,62,old-style-cast,74: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/yaep.c,2152,cast-qual,33: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2153,cast-qual,33: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/vlobject.cpp,106,old-style-cast,74: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/yaep.c,2154,cast-qual,18: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2155,cast-qual,18: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2164,cast-qual,22: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2165,cast-qual,24: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2166,cast-qual,20: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2169,sign-conversion,12: warning: conversion to 'unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,2169,sign-conversion,50: warning: conversion to 'unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,2176,cast-qual,23: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2177,cast-qual,23: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2178,cast-qual,25: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2179,cast-qual,25: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2180,cast-qual,21: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2181,cast-qual,21: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,66,conversion,27: warning: conversion from 'long unsigned int' to 'int' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,2230,sign-conversion,60: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,66,conversion,27: warning: conversion from 'long unsigned int' to 'int' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,2246,sign-conversion,53: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,2324,sign-conversion,58: warning: conversion to 'size_t' {aka 'long unsigned int'} from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,2327,sign-conversion,58: warning: conversion to 'size_t' {aka 'long unsigned int'} from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,2330,sign-conversion,58: warning: conversion to 'size_t' {aka 'long unsigned int'} from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,2439,cast-qual,22: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2448,sign-conversion,34: warning: conversion to 'unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,2456,cast-qual,32: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2547,cast-qual,17: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,2677,sign-conversion,56: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,2972,sign-conversion,34: warning: conversion to 'unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,3032,cast-qual,27: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,3039,cast-qual,25: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,3040,cast-qual,25: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,130: warning: declaration of 'eq_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,80: warning: declaration of 'hash_function' shadows a member of 'hash_table' 
./src/sgramm.y,301,,36: warning: "/*" within comment 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,130: warning: declaration of 'eq_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,80: warning: declaration of 'hash_function' shadows a member of 'hash_table' 
./src/sgramm.y,301,,36: warning: "/*" within comment 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,130: warning: declaration of 'eq_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,80: warning: declaration of 'hash_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/yaep.c,3161,conversion,14: warning: conversion from 'long int' to 'int' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,3167,sign-conversion,12: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,218,conversion,20: warning: conversion from 'size_t' {aka 'long unsigned int'} to 'unsigned int' may change value 
./src/sgramm.y,301,,36: warning: "/*" within comment 
/home/rdmerrio/gits/yaep/src/vlobject.h,235,sign-conversion,27: warning: conversion to 'size_t' {aka 'long unsigned int'} from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,3183,sign-conversion,26: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,3189,sign-conversion,26: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,3381,sign-conversion,62: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,3773,conversion,30: warning: conversion from 'ptrdiff_t' {aka 'long int'} to 'int' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,3839,conversion,33: warning: conversion from 'int' to 'char' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,3844,conversion,38: warning: conversion from 'int' to 'char' may change value 
/home/rdmerrio/gits/yaep/src/vlobject.h,170,conversion,25: warning: conversion from 'long unsigned int' to 'int' may change value 
/home/rdmerrio/gits/yaep/src/objstack.h,218,conversion,28: warning: conversion from 'long unsigned int' to 'int' may change value 
/home/rdmerrio/gits/yaep/src/vlobject.h,170,conversion,25: warning: conversion from 'long unsigned int' to 'int' may change value 
./src/sgramm.y,301,,36: warning: "/*" within comment 
/home/rdmerrio/gits/yaep/src/objstack.h,303,conversion,39: warning: conversion from 'int' to 'char' may change value 
/home/rdmerrio/gits/yaep/src/vlobject.h,433,conversion,19: warning: conversion from 'int' to 'char' may change value 
/home/rdmerrio/gits/yaep/src/vlobject.h,433,conversion,19: warning: conversion from 'int' to 'char' may change value 
/home/rdmerrio/gits/yaep/src/objstack.h,303,conversion,39: warning: conversion from 'int' to 'char' may change value 
/home/rdmerrio/gits/yaep/src/objstack.h,303,conversion,39: warning: conversion from 'int' to 'char' may change value 
./src/sgramm.y,492,cast-qual,19: warning: cast discards 'const' qualifier from pointer target type 
./src/sgramm.y,492,cast-qual,48: warning: cast discards 'const' qualifier from pointer target type 
./src/sgramm.y,500,cast-qual,11: warning: cast discards 'const' qualifier from pointer target type 
./src/sgramm.y,500,cast-qual,40: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/vlobject.h,170,conversion,25: warning: conversion from 'long unsigned int' to 'int' may change value 
./src/sgramm.y,608,sign-conversion,15: warning: conversion to 'size_t' {aka 'long unsigned int'} from 'int' may change the sign of the result 
./src/sgramm.y,640,sign-conversion,34: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/vlobject.h,433,conversion,19: warning: conversion from 'int' to 'char' may change value 
./src/sgramm.y,643,sign-conversion,15: warning: conversion to 'size_t' {aka 'long unsigned int'} from 'int' may change the sign of the result 
./src/sgramm.y,694,,10: warning: to be safe all intermediate pointers in cast from 'char **' to 'const char **' must be 'const' qualified 
/home/rdmerrio/gits/yaep/src/yaep.c,235,old-style-cast,28: warning: use of old-style cast to 'void*' 
/home/rdmerrio/gits/yaep/src/yaep.c,235,old-style-cast,28: warning: use of old-style cast to 'void*' 
/home/rdmerrio/gits/yaep/src/yaep.c,4292,shadow,43: warning: declaration of 'grammar' shadows a global declaration 
/home/rdmerrio/gits/yaep/src/yaep.c,244,old-style-cast,49: warning: use of old-style cast to 'void*' 
/home/rdmerrio/gits/yaep/src/yaep.c,244,old-style-cast,49: warning: use of old-style cast to 'void*' 
/home/rdmerrio/gits/yaep/src/yaep.c,293,old-style-cast,13: warning: use of old-style cast to 'int' 
/home/rdmerrio/gits/yaep/src/yaep.c,293,old-style-cast,13: warning: use of old-style cast to 'int' 
/home/rdmerrio/gits/yaep/src/yaep.c,295,old-style-cast,31: warning: use of old-style cast to 'int' 
/home/rdmerrio/gits/yaep/src/yaep.c,295,sign-conversion,23: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,295,old-style-cast,31: warning: use of old-style cast to 'int' 
/home/rdmerrio/gits/yaep/src/yaep.c,295,sign-conversion,23: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,296,old-style-cast,37: warning: use of old-style cast to 'size_t' {aka 'long unsigned int'} 
/home/rdmerrio/gits/yaep/src/yaep.c,4306,shadow,39: warning: declaration of 'grammar' shadows a global declaration 
/home/rdmerrio/gits/yaep/src/yaep.c,296,old-style-cast,37: warning: use of old-style cast to 'size_t' {aka 'long unsigned int'} 
/home/rdmerrio/gits/yaep/src/yaep.c,297,old-style-cast,26: warning: use of old-style cast to 'int*' 
/home/rdmerrio/gits/yaep/src/yaep.c,297,old-style-cast,26: warning: use of old-style cast to 'int*' 
/home/rdmerrio/gits/yaep/src/yaep.c,421,old-style-cast,44: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,421,old-style-cast,44: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,425,old-style-cast,52: warning: use of old-style cast to 'unsigned int' 
/home/rdmerrio/gits/yaep/src/yaep.c,425,old-style-cast,52: warning: use of old-style cast to 'unsigned int' 
/home/rdmerrio/gits/yaep/src/yaep.c,4320,shadow,42: warning: declaration of 'grammar' shadows a global declaration 
/home/rdmerrio/gits/yaep/src/yaep.c,433,old-style-cast,49: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,434,old-style-cast,49: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,433,old-style-cast,49: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,434,old-style-cast,49: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,443,old-style-cast,52: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,446,sign-conversion,23: warning: conversion to 'unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,443,old-style-cast,52: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,453,old-style-cast,53: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,454,old-style-cast,53: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,475,old-style-cast,73: warning: use of old-style cast to 'struct symbs*' 
/home/rdmerrio/gits/yaep/src/yaep.c,446,sign-conversion,23: warning: conversion to 'unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,453,old-style-cast,53: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,454,old-style-cast,53: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,235,old-style-cast,28: warning: use of old-style cast to 'void*' 
/home/rdmerrio/gits/yaep/src/yaep.c,4334,shadow,37: warning: declaration of 'grammar' shadows a global declaration 
/home/rdmerrio/gits/yaep/src/yaep.c,244,old-style-cast,49: warning: use of old-style cast to 'void*' 
/home/rdmerrio/gits/yaep/src/yaep.c,475,old-style-cast,73: warning: use of old-style cast to 'struct symbs*' 
/home/rdmerrio/gits/yaep/src/yaep.c,4348,shadow,47: warning: declaration of 'grammar' shadows a global declaration 
/home/rdmerrio/gits/yaep/src/yaep.c,293,old-style-cast,13: warning: use of old-style cast to 'int' 
/home/rdmerrio/gits/yaep/src/yaep.c,295,old-style-cast,31: warning: use of old-style cast to 'int' 
/home/rdmerrio/gits/yaep/src/yaep.c,295,sign-conversion,23: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,296,old-style-cast,37: warning: use of old-style cast to 'size_t' {aka 'long unsigned int'} 
/home/rdmerrio/gits/yaep/src/yaep.c,297,old-style-cast,26: warning: use of old-style cast to 'int*' 
/home/rdmerrio/gits/yaep/src/yaep.c,4362,shadow,42: warning: declaration of 'grammar' shadows a global declaration 
/home/rdmerrio/gits/yaep/src/yaep.cpp,53,old-style-cast,74: warning: use of old-style cast to 'struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,421,old-style-cast,44: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,649,,10: warning: cast from type 'hash_table_entry_t' {aka 'const void*'} to type 'symb*' casts away qualifiers 
/home/rdmerrio/gits/yaep/src/yaep.c,425,old-style-cast,52: warning: use of old-style cast to 'unsigned int' 
/home/rdmerrio/gits/yaep/src/yaep.c,433,old-style-cast,49: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,434,old-style-cast,49: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,686,old-style-cast,33: warning: use of old-style cast to 'void*' 
/home/rdmerrio/gits/yaep/src/yaep.c,443,old-style-cast,52: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,698,old-style-cast,41: warning: use of old-style cast to 'struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,698,,24: warning: cast from type 'hash_table_entry_t' {aka 'const void*'} to type 'symb*' casts away qualifiers 
/home/rdmerrio/gits/yaep/src/yaep.c,446,sign-conversion,23: warning: conversion to 'unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,702,old-style-cast,33: warning: use of old-style cast to 'void*' 
/home/rdmerrio/gits/yaep/src/yaep.c,702,old-style-cast,45: warning: use of old-style cast to 'void*' 
/home/rdmerrio/gits/yaep/src/yaep.cpp,53,old-style-cast,74: warning: use of old-style cast to 'struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,453,old-style-cast,53: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,649,,10: warning: cast from type 'hash_table_entry_t' {aka 'const void*'} to type 'symb*' casts away qualifiers 
/home/rdmerrio/gits/yaep/src/yaep.c,454,old-style-cast,53: warning: use of old-style cast to 'const struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,475,old-style-cast,73: warning: use of old-style cast to 'struct symbs*' 
/home/rdmerrio/gits/yaep/src/yaep.c,686,old-style-cast,33: warning: use of old-style cast to 'void*' 
/home/rdmerrio/gits/yaep/src/yaep.cpp,40,old-style-cast,43: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/yaep.cpp,40,old-style-cast,43: warning: use of old-style cast to 'struct symb*' 
/home/rdmerrio/gits/yaep/src/yaep.c,746,old-style-cast,47: warning: use of old-style cast to 'void*' 
/home/rdmerrio/gits/yaep/src/yaep.c,746,old-style-cast,47: warning: use of old-style cast to 'hash_table_entry_t' {aka 'const void*'} 
/home/rdmerrio/gits/yaep/src/yaep.c,698,old-style-cast,41: warning: use of old-style cast to 'struct symb*' 
